EPC,AntnenaId,ChannelIndex,Doppler,PeekRssi,PreciseRssi,Phase,FirstReadTime,LastReadTime,ReadCount,Timestamp
E2008181810E007525801120,1,1,104,-64,-6450,3848,1456553973313696,1456553973313696,1,1456561929437
E2008181810E007525801120,1,1,481,-67,-6750,3860,1456553973316856,1456553973316856,1,1456561929442
E2008181810E007525801120,1,1,-26,-65,-6500,3384,1456553973335142,1456553973335142,1,1456561929443
E2008181810E007525801120,1,1,-208,-63,-6300,3440,1456553973338153,1456553973338153,1,1456561929444
E2008181810E007525801120,1,1,-911,-58,-5800,3472,1456553973348410,1456553973348410,1,1456561929448
E2008181810E007525801120,1,1,221,-57,-5700,3488,1456553973351438,1456553973351438,1,1456561929449
E2008181810E007525801120,1,1,156,-55,-5550,3504,1456553973361488,1456553973361488,1,1456561929449
E2008181810E007525801120,1,1,403,-55,-5500,3512,1456553973366459,1456553973366459,1,1456561929450
E2008181810E007525801120,1,1,52,-56,-5600,3616,1456553973376665,1456553973376665,1,1456561929455
E2008181810E007525801120,1,1,-208,-56,-5600,3660,1456553973379900,1456553973379900,1,1456561929456
E2008181810E007525801120,1,1,-156,-59,-5900,3668,1456553973390192,1456553973390192,1,1456561929456
E2008181810E007525801120,1,1,156,-60,-6000,3644,1456553973393205,1456553973393205,1,1456561929457
E2008181810E007525801120,1,1,247,-67,-6750,3784,1456553973403443,1456553973403443,1,1456561929563
E2008181810E007525801120,1,1,-78,-61,-6100,3616,1456553973425074,1456553973425074,1,1456561929564
E2008181810E007525801120,1,1,-52,-57,-5700,3604,1456553973435536,1456553973435536,1,1456561929565
E2008181810E007525801120,1,1,-221,-57,-5700,3620,1456553973438319,1456553973438319,1,1456561929566
E2008181810E007525801120,1,1,156,-56,-5600,3592,1456553973448588,1456553973448588,1,1456561929567
E2008181810E007525801120,1,1,0,-55,-5500,3660,1456553973451586,1456553973451586,1,1456561929567
E2008181810E007525801120,1,1,-52,-55,-5550,3680,1456553973461893,1456553973461893,1,1456561929568
E2008181810E007525801120,1,1,0,-56,-5600,3596,1456553973464857,1456553973464857,1,1456561929569
E2008181810E007525801120,1,1,-156,-58,-5850,3660,1456553973475356,1456553973475356,1,1456561929570
E2008181810E007525801120,1,1,221,-60,-6050,3628,1456553973478392,1456553973478392,1,1456561929575
E2008181810E007525801120,1,1,-130,-68,-6800,4084,1456553973488664,1456553973488664,1,1456561929576
E2008181810E007525801120,1,1,833,-60,-6050,3352,1456553973512125,1456553973512125,1,1456561929577
E2008181810E007525801120,1,1,-182,-57,-5700,3540,1456553973522384,1456553973522384,1,1456561929599
E2008181810E007525801120,1,1,104,-56,-5650,3500,1456553973525126,1456553973525126,1,1456561929600
E2008181810E007525801120,1,1,156,-55,-5550,3564,1456553973535613,1456553973535613,1,1456561929600
E2008181810E007525801120,1,1,-78,-55,-5500,3572,1456553973538593,1456553973538593,1,1456561929600
E2008181810E007525801120,1,1,-130,-56,-5600,3636,1456553973548640,1456553973548640,1,1456561929600
E2008181810E007525801120,1,1,208,-56,-5650,3628,1456553973551873,1456553973551873,1,1456561929601
E2008181810E007525801120,1,1,-52,-59,-5950,3636,1456553973562121,1456553973562121,1,1456561929727
E2008181810E007525801120,1,1,-703,-60,-6050,3728,1456553973564918,1456553973564918,1,1456561929727
E2008181810E007525801120,1,1,-585,-60,-6050,3684,1456553973596885,1456553973596885,1,1456561929728
E2008181810E007525801120,1,1,-351,-57,-5750,3664,1456553973607099,1456553973607099,1,1456561929728
E2008181810E007525801120,1,1,-273,-56,-5650,3660,1456553973610109,1456553973610109,1,1456561929728
E2008181810E007525801120,1,1,-937,-55,-5500,3756,1456553973621942,1456553973621942,1,1456561929729
E2008181810E007525801120,1,1,-26,-55,-5550,3620,1456553973624936,1456553973624936,1,1456561929729
E2008181810E007525801120,1,1,-130,-56,-5650,3656,1456553973635361,1456553973635361,1,1456561929729
E2008181810E007525801120,1,1,-585,-56,-5650,3720,1456553973638419,1456553973638419,1,1456561929729
E2008181810E007525801120,1,1,221,-59,-5950,3612,1456553973648706,1456553973648706,1,1456561929731
E2008181810E007525801120,1,1,-1015,-60,-6050,3920,1456553973651725,1456553973651725,1,1456561929731
E2008181810E007525801120,1,1,-833,-62,-6200,3588,1456553973681597,1456553973681597,1,1456561929732
E2008181810E007525801120,1,1,-1419,-59,-5950,3604,1456553973685379,1456553973685379,1,1456561929825
E2008181810E007525801120,1,1,-208,-57,-5700,3556,1456553973695851,1456553973695851,1,1456561929825
E2008181810E007525801120,1,1,273,-56,-5600,3516,1456553973698878,1456553973698878,1,1456561929826
E2008181810E007525801120,1,1,156,-55,-5550,3560,1456553973709153,1456553973709153,1,1456561929826
E2008181810E007525801120,1,1,156,-55,-5550,3556,1456553973712131,1456553973712131,1,1456561929826
E2008181810E007525801120,1,1,429,-57,-5700,3596,1456553973722391,1456553973722391,1,1456561929826
E2008181810E007525801120,1,1,-507,-56,-5650,3696,1456553973725461,1456553973725461,1,1456561929827
