EPC,AntnenaId,ChannelIndex,Doppler,PeekRssi,PreciseRssi,Phase,FirstReadTime,LastReadTime,ReadCount,Timestamp
E2003072430F020826200E1E,1,1,-221,-39,-3950,2328,1456382228402925,1456382228402925,1,1456390177390
E2003072430F020826200E1E,1,1,-585,-42,-4250,1584,1456382228406223,1456382228406223,1,1456390177391
E2003072430F020826200E1E,1,1,-78,-41,-4100,3272,1456382228416479,1456382228416479,1,1456390177392
E2003072430F020826200E1E,1,1,-299,-39,-3900,2832,1456382228419345,1456382228419345,1,1456390177392
E2003072430F020826200E1E,1,1,-195,-39,-3900,3168,1456382228437620,1456382228437620,1,1456390177394
E2003072430F020826200E1E,1,1,-364,-39,-3900,2644,1456382228440377,1456382228440377,1,1456390177394
E2003072430F020826200E1E,1,1,-468,-42,-4250,232,1456382228450582,1456382228450582,1,1456390177394
E2003072430F020826200E1E,1,1,-299,-42,-4200,3536,1456382228453849,1456382228453849,1,1456390177395
E2003072430F020826200E1E,1,1,-221,-41,-4150,2024,1456382228464070,1456382228464070,1,1456390177397
E2003072430F020826200E1E,1,1,-338,-43,-4350,1396,1456382228467109,1456382228467109,1,1456390177397
E2003072430F020826200E1E,1,1,-273,-39,-3950,3060,1456382228477333,1456382228477333,1,1456390177397
E2003072430F020826200E1E,1,1,-169,-39,-3950,2468,1456382228480109,1456382228480109,1,1456390177397
E2003072430F020826200E1E,1,1,-559,-43,-4300,4088,1456382228490519,1456382228490519,1,1456390177480
E2003072430F020826200E1E,1,1,-143,-41,-4100,3412,1456382228493474,1456382228493474,1,1456390177480
E2003072430F020826200E1E,1,1,-325,-42,-4200,1984,1456382228503419,1456382228503419,1,1456390177481
E2003072430F020826200E1E,1,1,-221,-43,-4350,1296,1456382228506458,1456382228506458,1,1456390177481
E2003072430F020826200E1E,1,1,-299,-42,-4250,1224,1456382228524548,1456382228524548,1,1456390177481
E2003072430F020826200E1E,1,1,-442,-43,-4300,464,1456382228527819,1456382228527819,1,1456390177481
E2003072430F020826200E1E,1,1,-468,-39,-3950,2580,1456382228537881,1456382228537881,1,1456390177482
E2003072430F020826200E1E,1,1,-195,-40,-4000,2204,1456382228541069,1456382228541069,1,1456390177482
E2003072430F020826200E1E,1,1,-273,-41,-4150,3656,1456382228551302,1456382228551302,1,1456390177482
E2003072430F020826200E1E,1,1,-247,-39,-3950,3284,1456382228554069,1456382228554069,1,1456390177484
E2003072430F020826200E1E,1,1,-364,-43,-4300,1012,1456382228564505,1456382228564505,1,1456390177484
E2003072430F020826200E1E,1,1,-416,-42,-4250,296,1456382228567499,1456382228567499,1,1456390177484
E2003072430F020826200E1E,1,1,-273,-39,-3900,2464,1456382228577474,1456382228577474,1,1456390177563
E2003072430F020826200E1E,1,1,-221,-41,-4100,2132,1456382228580676,1456382228580676,1,1456390177564
E2003072430F020826200E1E,1,1,-78,-41,-4100,3532,1456382228590980,1456382228590980,1,1456390177565
E2003072430F020826200E1E,1,1,-182,-39,-3950,3144,1456382228593952,1456382228593952,1,1456390177566
E2003072430F020826200E1E,1,1,-351,-42,-4250,660,1456382228605017,1456382228605017,1,1456390177567
E2003072430F020826200E1E,1,1,-638,-42,-4250,3988,1456382228608043,1456382228608043,1,1456390177568
E2003072430F020826200E1E,1,1,0,-40,-4000,2240,1456382228618461,1456382228618461,1,1456390177569
E2003072430F020826200E1E,1,1,-247,-42,-4250,1884,1456382228621173,1456382228621173,1,1456390177570
E2003072430F020826200E1E,1,1,-273,-39,-3950,3384,1456382228631409,1456382228631409,1,1456390177570
E2003072430F020826200E1E,1,1,-364,-39,-3900,2600,1456382228635732,1456382228635732,1,1456390177571
E2003072430F020826200E1E,1,1,-677,-42,-4250,204,1456382228646016,1456382228646016,1,1456390177572
E2003072430F020826200E1E,1,1,-299,-41,-4150,3508,1456382228648980,1456382228648980,1,1456390177672
E2003072430F020826200E1E,1,1,-364,-42,-4200,2056,1456382228659275,1456382228659275,1,1456390177673
E2003072430F020826200E1E,1,1,-677,-44,-4400,1464,1456382228662056,1456382228662056,1,1456390177673
E2003072430F020826200E1E,1,1,-338,-43,-4300,1360,1456382228680132,1456382228680132,1,1456390177674
E2003072430F020826200E1E,1,1,-494,-43,-4300,580,1456382228683467,1456382228683467,1,1456390177675
E2003072430F020826200E1E,1,1,-26,-39,-3950,3352,1456382228709444,1456382228709444,1,1456390177675
E2003072430F020826200E1E,1,1,-247,-38,-3850,2916,1456382228712218,1456382228712218,1,1456390177676
E2003072430F020826200E1E,1,1,-390,-43,-4300,580,1456382228722439,1456382228722439,1,1456390177676
E2003072430F020826200E1E,1,1,-273,-42,-4200,3864,1456382228725462,1456382228725462,1,1456390177677
E2003072430F020826200E1E,1,1,-169,-40,-4000,2204,1456382228735985,1456382228735985,1,1456390177677
E2003072430F020826200E1E,1,1,-273,-43,-4350,1352,1456382228740438,1456382228740438,1,1456390177678
E2003072430F020826200E1E,1,1,-416,-39,-3950,3072,1456382228750469,1456382228750469,1,1456390177678
E2003072430F020826200E1E,1,1,-338,-39,-3950,2464,1456382228753480,1456382228753480,1,1456390177777
E2003072430F020826200E1E,1,1,-611,-43,-4300,4060,1456382228763893,1456382228763893,1,1456390177778
E2003072430F020826200E1E,1,1,-52,-41,-4100,3404,1456382228766678,1456382228766678,1,1456390177779
E2003072430F020826200E1E,1,1,-273,-43,-4300,1588,1456382228778454,1456382228778454,1,1456390177779
E2003072430F020826200E1E,1,1,-468,-44,-4450,740,1456382228781486,1456382228781486,1,1456390177781
E2003072430F020826200E1E,1,1,-195,-39,-3900,2608,1456382228791685,1456382228791685,1,1456390177782
E2003072430F020826200E1E,1,1,-299,-41,-4150,2044,1456382228794714,1456382228794714,1,1456390177783
E2003072430F020826200E1E,1,1,-247,-41,-4150,3396,1456382228805842,1456382228805842,1,1456390177784
E2003072430F020826200E1E,1,1,-416,-40,-4000,3008,1456382228808583,1456382228808583,1,1456390177785
E2003072430F020826200E1E,1,1,-429,-43,-4300,424,1456382228840190,1456382228840190,1,1456390177786
E2003072430F020826200E1E,1,1,-195,-42,-4200,3692,1456382228843213,1456382228843213,1,1456390177787
E2003072430F020826200E1E,1,1,-169,-40,-4050,2148,1456382228853453,1456382228853453,1,1456390177787
E2003072430F020826200E1E,1,1,-416,-44,-4400,1204,1456382228858073,1456382228858073,1,1456390177807
E2003072430F020826200E1E,1,1,-26,-41,-4100,3376,1456382228883996,1456382228883996,1,1456390177808
E2003072430F020826200E1E,1,1,-338,-39,-3950,2920,1456382228887189,1456382228887189,1,1456390177808
E2003072430F020826200E1E,1,1,-638,-44,-4400,1204,1456382228897211,1456382228897211,1,1456390177924
E2003072430F020826200E1E,1,1,-273,-43,-4350,92,1456382228900387,1456382228900387,1,1456390177924
E2003072430F020826200E1E,1,1,-338,-40,-4000,2256,1456382228910875,1456382228910875,1,1456390177925
E2003072430F020826200E1E,1,1,-364,-42,-4250,1476,1456382228913857,1456382228913857,1,1456390177925
