EPC,AntnenaId,ChannelIndex,Doppler,PeekRssi,PreciseRssi,Phase,FirstReadTime,LastReadTime,ReadCount,Timestamp
E2008181810E007519804894,1,1,299,-51,-5150,152,1457050309397130,1457050309397130,1,1457058203866
E2008181810E007519804894,1,1,26,-51,-5150,200,1457050309399845,1457050309399845,1,1457058203872
E2008181810E007519804894,1,1,-143,-51,-5150,24,1457050309411042,1457050309411042,1,1457058203875
E2008181810E007519804894,1,1,442,-51,-5150,44,1457050309416742,1457050309416742,1,1457058203884
E2008181810E007519804894,1,1,26,-52,-5200,4028,1457050309431871,1457050309431871,1,1457058203886
E2008181810E007519804894,1,1,26,-50,-5050,3864,1457050309436887,1457050309436887,1,1457058203894
E2008181810E007519804894,1,1,-195,-52,-5200,3832,1457050309449623,1457050309449623,1,1457058203896
E2008181810E007519804894,1,1,-52,-51,-5100,3712,1457050309454536,1457050309454536,1,1457058203934
E2008181810E007519804894,1,1,0,-51,-5150,3624,1457050309470396,1457050309470396,1,1457058203936
E2008181810E007519804894,1,1,78,-52,-5250,3616,1457050309477116,1457050309477116,1,1457058203939
E2008181810E007519804894,1,1,664,-52,-5200,3432,1457050309488635,1457050309488635,1,1457058203941
E2008181810E007519804894,1,1,-221,-53,-5300,3452,1457050309493923,1457050309493923,1,1457058203943
E2008181810E007519804894,1,1,-195,-52,-5250,3356,1457050309505065,1457050309505065,1,1457058203949
E2008181810E007519804894,1,1,-273,-52,-5250,3348,1457050309511390,1457050309511390,1,1457058204002
E2008181810E007519804894,1,1,-117,-53,-5300,3104,1457050309529115,1457050309529115,1,1457058204003
E2008181810E007519804894,1,1,338,-53,-5350,3060,1457050309532333,1457050309532333,1,1457058204004
E2008181810E007519804894,1,1,-117,-54,-5400,2888,1457050309544107,1457050309544107,1,1457058204007
E2008181810E007519804894,1,1,364,-54,-5450,2788,1457050309548003,1457050309548003,1,1457058204010
E2008181810E007519804894,1,1,-533,-54,-5400,2660,1457050309560659,1457050309560659,1,1457058204012
E2008181810E007519804894,1,1,-338,-53,-5350,2624,1457050309568338,1457050309568338,1,1457058204015
E2008181810E007519804894,1,1,-299,-54,-5400,2456,1457050309579945,1457050309579945,1,1457058204052
E2008181810E007519804894,1,1,-195,-53,-5300,2272,1457050309586692,1457050309586692,1,1457058204054
E2008181810E007519804894,1,1,26,-54,-5400,2264,1457050309598263,1457050309598263,1,1457058204057
E2008181810E007519804894,1,1,-169,-53,-5300,1976,1457050309602758,1457050309602758,1,1457058204060
E2008181810E007519804894,1,1,-78,-53,-5350,1856,1457050309616091,1457050309616091,1,1457058204062
E2008181810E007519804894,1,1,117,-52,-5250,1544,1457050309620844,1457050309620844,1,1457058204065
E2008181810E007519804894,1,1,247,-51,-5100,1344,1457050309636644,1457050309636644,1,1457058204075
E2008181810E007519804894,1,1,911,-52,-5250,1420,1457050309641647,1457050309641647,1,1457058204076
E2008181810E007519804894,1,1,-390,-50,-5050,1304,1457050309653277,1457050309653277,1,1457058204154
E2008181810E007519804894,1,1,416,-52,-5200,1236,1457050309656566,1457050309656566,1,1457058204155
E2008181810E007519804894,1,1,195,-50,-5000,1060,1457050309667673,1457050309667673,1,1457058204156
E2008181810E007519804894,1,1,143,-51,-5150,1108,1457050309671006,1457050309671006,1,1457058204158
E2008181810E007519804894,1,1,117,-50,-5000,980,1457050309681062,1457050309681062,1,1457058204159
E2008181810E007519804894,1,1,-117,-50,-5050,944,1457050309686775,1457050309686775,1,1457058204160
E2008181810E007519804894,1,1,26,-50,-5000,888,1457050309699630,1457050309699630,1,1457058204163
E2008181810E007519804894,1,1,117,-50,-5050,736,1457050309705359,1457050309705359,1,1457058204171
E2008181810E007519804894,1,1,-26,-51,-5100,640,1457050309719883,1457050309719883,1,1457058204174
E2008181810E007519804894,1,1,117,-48,-4850,744,1457050309726384,1457050309726384,1,1457058204217
E2008181810E007519804894,1,1,221,-49,-4950,676,1457050309738238,1457050309738238,1,1457058204218
E2008181810E007519804894,1,1,-26,-48,-4850,756,1457050309744229,1457050309744229,1,1457058204220
E2008181810E007519804894,1,1,169,-49,-4900,656,1457050309758916,1457050309758916,1,1457058204222
E2008181810E007519804894,1,1,-221,-50,-5050,660,1457050309762091,1457050309762091,1,1457058204223
E2008181810E007519804894,1,1,-247,-50,-5000,628,1457050309774803,1457050309774803,1,1457058204225
E2008181810E007519804894,1,1,494,-51,-5150,396,1457050309780471,1457050309780471,1,1457058204226
E2008181810E007519804894,1,1,195,-51,-5100,324,1457050309794482,1457050309794482,1,1457058204291
E2008181810E007519804894,1,1,247,-50,-5050,352,1457050309800199,1457050309800199,1,1457058204294
E2008181810E007519804894,1,1,533,-51,-5100,180,1457050309814592,1457050309814592,1,1457058204297
E2008181810E007519804894,1,1,26,-50,-5050,220,1457050309817714,1457050309817714,1,1457058204299
E2008181810E007519804894,1,1,-26,-51,-5100,52,1457050309832860,1457050309832860,1,1457058204301
E2008181810E007519804894,1,1,273,-51,-5150,3980,1457050309838801,1457050309838801,1,1457058204302
E2008181810E007519804894,1,1,26,-51,-5150,3948,1457050309849275,1457050309849275,1,1457058204303
E2008181810E007519804894,1,1,195,-52,-5200,3760,1457050309856688,1457050309856688,1,1457058204304
E2008181810E007519804894,1,1,-416,-53,-5300,3628,1457050309875416,1457050309875416,1,1457058204312
E2008181810E007519804894,1,1,273,-53,-5300,3508,1457050309878265,1457050309878265,1,1457058204313
E2008181810E007519804894,1,1,-416,-54,-5400,3328,1457050309891587,1457050309891587,1,1457058204313
E2008181810E007519804894,1,1,-559,-53,-5350,3272,1457050309894805,1457050309894805,1,1457058204380
E2008181810E007519804894,1,1,-273,-55,-5500,2772,1457050309912646,1457050309912646,1,1457058204383
E2008181810E007519804894,1,1,-390,-55,-5550,2584,1457050309917863,1457050309917863,1,1457058204385
E2008181810E007519804894,1,1,143,-55,-5500,2140,1457050309932099,1457050309932099,1,1457058204387
E2008181810E007519804894,1,1,-559,-56,-5600,2036,1457050309940694,1457050309940694,1,1457058204389
E2008181810E007519804894,1,1,-833,-55,-5500,1660,1457050309956628,1457050309956628,1,1457058204397
E2008181810E007519804894,1,1,559,-54,-5400,1440,1457050309962486,1457050309962486,1,1457058204436
E2008181810E007519804894,1,1,494,-53,-5350,1180,1457050309974156,1457050309974156,1,1457058204438
E2008181810E007519804894,1,1,-247,-53,-5350,1208,1457050309978696,1457050309978696,1,1457058204439
E2008181810E007519804894,1,1,468,-53,-5350,964,1457050309991441,1457050309991441,1,1457058204442
E2008181810E007519804894,1,1,78,-52,-5250,796,1457050309996074,1457050309996074,1,1457058204444
E2008181810E007519804894,1,1,-247,-52,-5250,796,1457050310008167,1457050310008167,1,1457058204446
E2008181810E007519804894,1,1,52,-52,-5250,484,1457050310014235,1457050310014235,1,1457058204495
E2008181810E007519804894,1,1,-338,-52,-5200,368,1457050310027365,1457050310027365,1,1457058204496
E2008181810E007519804894,1,1,-143,-52,-5200,316,1457050310031714,1457050310031714,1,1457058204498
E2008181810E007519804894,1,1,338,-51,-5150,40,1457050310044176,1457050310044176,1,1457058204499
E2008181810E007519804894,1,1,0,-52,-5200,148,1457050310049257,1457050310049257,1,1457058204500
E2008181810E007519804894,1,1,195,-51,-5100,4016,1457050310061065,1457050310061065,1,1457058204503
E2008181810E007519804894,1,1,78,-52,-5200,4088,1457050310066216,1457050310066216,1,1457058204505
E2008181810E007519804894,1,1,247,-51,-5150,3896,1457050310077739,1457050310077739,1,1457058204571
E2008181810E007519804894,1,1,78,-52,-5200,3964,1457050310084262,1457050310084262,1,1457058204573
E2008181810E007519804894,1,1,338,-51,-5100,3784,1457050310096586,1457050310096586,1,1457058204576
